Area Name,Qualifying Area Name,Land Area,Summary Level,FIPS,State FIPS,County FIPS,Total Population,Year
Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,1930
Alcona County,"Alcona County, Michigan",694.4297,50,2600010,260,10,4989,1930
Alger County,"Alger County, Michigan",937.4239,50,2600030,260,30,9327,1930
Allegan County,"Allegan County, Michigan",842.8192,50,2600050,260,50,38974,1930
Alpena County,"Alpena County, Michigan",594.6877,50,2600070,260,70,18574,1930
Antrim County,"Antrim County, Michigan",525.1273,50,2600090,260,90,9979,1930
Arenac County,"Arenac County, Michigan",368.0848,50,2600110,260,110,8007,1930
Baraga County,"Baraga County, Michigan",917.4614,50,2600130,260,130,9168,1930
Barry County,"Barry County, Michigan",576.8968,50,2600150,260,150,20928,1930
Bay County,"Bay County, Michigan",447.7316,50,2600170,260,170,69474,1930
Benzie County,"Benzie County, Michigan",347.6097,50,2600190,260,190,6587,1930
Berrien County,"Berrien County, Michigan",580.2342,50,2600210,260,210,81066,1930
Branch County,"Branch County, Michigan",519.4867,50,2600230,260,230,23950,1930
Calhoun County,"Calhoun County, Michigan",718.4351,50,2600250,260,250,87043,1930
Cass County,"Cass County, Michigan",508.4609,50,2600270,260,270,20888,1930
Charlevoix County,"Charlevoix County, Michigan",453.6193,50,2600290,260,290,11981,1930
Cheboygan County,"Cheboygan County, Michigan",795.7876,50,2600310,260,310,11502,1930
Chippewa County,"Chippewa County, Michigan",1580.488,50,2600330,260,330,25047,1930
Clare County,"Clare County, Michigan",575.2104,50,2600350,260,350,7032,1930
Clinton County,"Clinton County, Michigan",574.5684,50,2600370,260,370,24174,1930
Crawford County,"Crawford County, Michigan",563.3662,50,2600390,260,390,3097,1930
Delta County,"Delta County, Michigan",1179.583,50,2600410,260,410,32280,1930
Dickinson County,"Dickinson County, Michigan",777.0963,50,2600430,260,430,29941,1930
Eaton County,"Eaton County, Michigan",579.0171,50,2600450,260,450,31728,1930
Emmet County,"Emmet County, Michigan",483.2888,50,2600470,260,470,15109,1930
Genesee County,"Genesee County, Michigan",649.3376,50,2600490,260,490,211641,1930
Gladwin County,"Gladwin County, Michigan",516.4251,50,2600510,260,510,7424,1930
Gogebic County,"Gogebic County, Michigan",1144.035,50,2600530,260,530,31577,1930
Grand Traverse County,"Grand Traverse County, Michigan",490.1922,50,2600550,260,550,20011,1930
Gratiot County,"Gratiot County, Michigan",571.6023,50,2600570,260,570,30252,1930
Hillsdale County,"Hillsdale County, Michigan",607.1364,50,2600590,260,590,27417,1930
Houghton County,"Houghton County, Michigan",1041.62,50,2600610,260,610,52851,1930
Huron County,"Huron County, Michigan",838.8172,50,2600630,260,630,31132,1930
Ingham County,"Ingham County, Michigan",560.9346,50,2600650,260,650,116587,1930
Ionia County,"Ionia County, Michigan",580.2259,50,2600670,260,670,35093,1930
Iosco County,"Iosco County, Michigan",566.4088,50,2600690,260,690,7517,1930
Iron County,"Iron County, Michigan",1210.99,50,2600710,260,710,20805,1930
Isabella County,"Isabella County, Michigan",577.7434,50,2600730,260,730,21126,1930
Jackson County,"Jackson County, Michigan",723.7592,50,2600750,260,750,92304,1930
Kalamazoo County,"Kalamazoo County, Michigan",580.1758,50,2600770,260,770,91368,1930
Kalkaska County,"Kalkaska County, Michigan",570.7525,50,2600790,260,790,3799,1930
Kent County,"Kent County, Michigan",872.1724,50,2600810,260,810,240511,1930
Keweenaw County,"Keweenaw County, Michigan",562.9056,50,2600830,260,830,5076,1930
Lake County,"Lake County, Michigan",574.5975,50,2600850,260,850,4066,1930
Lapeer County,"Lapeer County, Michigan",663.077,50,2600870,260,870,28348,1930
Leelanau County,"Leelanau County, Michigan",375.9235,50,2600890,260,890,8206,1930
Lenawee County,"Lenawee County, Michigan",761.3084,50,2600910,260,910,49849,1930
Livingston County,"Livingston County, Michigan",585.4269,50,2600930,260,930,19274,1930
Luce County,"Luce County, Michigan",927.283,50,2600950,260,950,6528,1930
Mackinac County,"Mackinac County, Michigan",1062.886,50,2600970,260,970,8783,1930
Macomb County,"Macomb County, Michigan",482.8591,50,2600990,260,990,77146,1930
Manistee County,"Manistee County, Michigan",557.0196,50,2601010,260,1010,17409,1930
Marquette County,"Marquette County, Michigan",1870.44,50,2601030,260,1030,44076,1930
Mason County,"Mason County, Michigan",510.0613,50,2601050,260,1050,18756,1930
Mecosta County,"Mecosta County, Michigan",571.0979,50,2601070,260,1070,15738,1930
Menominee County,"Menominee County, Michigan",1051.705,50,2601090,260,1090,23652,1930
Midland County,"Midland County, Michigan",527.8838,50,2601110,260,1110,19150,1930
Missaukee County,"Missaukee County, Michigan",573.8146,50,2601130,260,1130,6992,1930
Monroe County,"Monroe County, Michigan",557.5548,50,2601150,260,1150,52485,1930
Montcalm County,"Montcalm County, Michigan",720.9766,50,2601170,260,1170,27471,1930
Montmorency County,"Montmorency County, Michigan",562.4328,50,2601190,260,1190,2814,1930
Muskegon County,"Muskegon County, Michigan",527.1947,50,2601210,260,1210,84630,1930
Newaygo County,"Newaygo County, Michigan",861.3841,50,2601230,260,1230,17029,1930
Oakland County,"Oakland County, Michigan",907.9938,50,2601250,260,1250,211251,1930
Oceana County,"Oceana County, Michigan",546.5677,50,2601270,260,1270,13805,1930
Ogemaw County,"Ogemaw County, Michigan",574.6239,50,2601290,260,1290,6595,1930
Ontonagon County,"Ontonagon County, Michigan",1328.738,50,2601310,260,1310,11114,1930
Osceola County,"Osceola County, Michigan",573.0979,50,2601330,260,1330,12806,1930
Oscoda County,"Oscoda County, Michigan",571.5647,50,2601350,260,1350,1728,1930
Otsego County,"Otsego County, Michigan",525.9751,50,2601370,260,1370,5554,1930
Ottawa County,"Ottawa County, Michigan",577.3601,50,2601390,260,1390,54858,1930
Presque Isle County,"Presque Isle County, Michigan",684.9969,50,2601410,260,1410,11330,1930
Roscommon County,"Roscommon County, Michigan",579.8375,50,2601430,260,1430,2055,1930
Saginaw County,"Saginaw County, Michigan",815.7729,50,2601450,260,1450,120717,1930
St Clair County,"St Clair County, Michigan",726.1126,50,2601470,260,1470,67563,1930
St Joseph County,"St Joseph County, Michigan",521.151,50,2601490,260,1490,30618,1930
Sanilac County,"Sanilac County, Michigan",964.0111,50,2601510,260,1510,27751,1930
