Area Name,Full Name,Summary Level,Federal Information Processing System Code,State Code,County Code,Total Population,Year
Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,1940
Alcona,"Alcona County, Michigan",50,26001,26,1,5463,1940
Alger,"Alger County, Michigan",50,26003,26,3,10167,1940
Allegan,"Allegan County, Michigan",50,26005,26,5,41839,1940
Alpena,"Alpena County, Michigan",50,26007,26,7,20766,1940
Antrim,"Antrim County, Michigan",50,26009,26,9,10964,1940
Arenac,"Arenac County, Michigan",50,26011,26,11,9233,1940
Baraga,"Baraga County, Michigan",50,26013,26,13,9356,1940
Barry,"Barry County, Michigan",50,26015,26,15,22613,1940
Bay,"Bay County, Michigan",50,26017,26,17,74981,1940
Benzie,"Benzie County, Michigan",50,26019,26,19,7800,1940
Berrien,"Berrien County, Michigan",50,26021,26,21,89117,1940
Branch,"Branch County, Michigan",50,26023,26,23,25845,1940
Calhoun,"Calhoun County, Michigan",50,26025,26,25,94206,1940
Cass,"Cass County, Michigan",50,26027,26,27,21910,1940
Charlevoix,"Charlevoix County, Michigan",50,26029,26,29,13031,1940
Cheboygan,"Cheboygan County, Michigan",50,26031,26,31,13644,1940
Chippewa,"Chippewa County, Michigan",50,26033,26,33,27807,1940
Clare,"Clare County, Michigan",50,26035,26,35,9163,1940
Clinton,"Clinton County, Michigan",50,26037,26,37,26671,1940
Crawford,"Crawford County, Michigan",50,26039,26,39,3765,1940
Delta,"Delta County, Michigan",50,26041,26,41,34037,1940
Dickinson,"Dickinson County, Michigan",50,26043,26,43,28731,1940
Eaton,"Eaton County, Michigan",50,26045,26,45,34124,1940
Emmet,"Emmet County, Michigan",50,26047,26,47,15791,1940
Genesee,"Genesee County, Michigan",50,26049,26,49,227944,1940
Gladwin,"Gladwin County, Michigan",50,26051,26,51,9385,1940
Gogebic,"Gogebic County, Michigan",50,26053,26,53,31797,1940
Grand Traverse,"Grand Traverse County, Michigan",50,26055,26,55,23390,1940
Gratiot,"Gratiot County, Michigan",50,26057,26,57,32205,1940
Hillsdale,"Hillsdale County, Michigan",50,26059,26,59,29092,1940
Houghton,"Houghton County, Michigan",50,26061,26,61,47631,1940
Huron,"Huron County, Michigan",50,26063,26,63,32584,1940
