Area name,Qualifying Area Name,Summary Level,FIPS,State FIPS,County FIPS,NHGIS State Code,NHGIS County Code,NHGIS GIS Join Code,NHGIS GIS Join Code v2,Total Population,Year
Geo_name,Geo_qname,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_NHGISST,Geo_NHGISCTY,Geo_GISJOIN,Geo_GISJOIN2,SE_T001_001,1960
Alcona County,"Alcona County, Michigan",50,260010,23,10,260,10,G2600010,2600010,6352,1960
Alger County,"Alger County, Michigan",50,260030,23,30,260,30,G2600030,2600030,9250,1960
Allegan County,"Allegan County, Michigan",50,260050,23,50,260,50,G2600050,2600050,57729,1960
Alpena County,"Alpena County, Michigan",50,260070,23,70,260,70,G2600070,2600070,28556,1960
Antrim County,"Antrim County, Michigan",50,260090,23,90,260,90,G2600090,2600090,10373,1960
Arenac County,"Arenac County, Michigan",50,260110,23,110,260,110,G2600110,2600110,9860,1960
Baraga County,"Baraga County, Michigan",50,260130,23,130,260,130,G2600130,2600130,7151,1960
Barry County,"Barry County, Michigan",50,260150,23,150,260,150,G2600150,2600150,31738,1960
Bay County,"Bay County, Michigan",50,260170,23,170,260,170,G2600170,2600170,107042,1960
Benzie County,"Benzie County, Michigan",50,260190,23,190,260,190,G2600190,2600190,7834,1960
Berrien County,"Berrien County, Michigan",50,260210,23,210,260,210,G2600210,2600210,149865,1960
Branch County,"Branch County, Michigan",50,260230,23,230,260,230,G2600230,2600230,34903,1960
Calhoun County,"Calhoun County, Michigan",50,260250,23,250,260,250,G2600250,2600250,138858,1960
Cass County,"Cass County, Michigan",50,260270,23,270,260,270,G2600270,2600270,36932,1960
Charlevoix County,"Charlevoix County, Michigan",50,260290,23,290,260,290,G2600290,2600290,13421,1960
Cheboygan County,"Cheboygan County, Michigan",50,260310,23,310,260,310,G2600310,2600310,14550,1960
Chippewa County,"Chippewa County, Michigan",50,260330,23,330,260,330,G2600330,2600330,32655,1960
Clare County,"Clare County, Michigan",50,260350,23,350,260,350,G2600350,2600350,11647,1960
Clinton County,"Clinton County, Michigan",50,260370,23,370,260,370,G2600370,2600370,37969,1960
Crawford County,"Crawford County, Michigan",50,260390,23,390,260,390,G2600390,2600390,4971,1960
Delta County,"Delta County, Michigan",50,260410,23,410,260,410,G2600410,2600410,34298,1960
Dickinson County,"Dickinson County, Michigan",50,260430,23,430,260,430,G2600430,2600430,23917,1960
Eaton County,"Eaton County, Michigan",50,260450,23,450,260,450,G2600450,2600450,49684,1960
Emmet County,"Emmet County, Michigan",50,260470,23,470,260,470,G2600470,2600470,15904,1960
Genesee County,"Genesee County, Michigan",50,260490,23,490,260,490,G2600490,2600490,374313,1960
Gladwin County,"Gladwin County, Michigan",50,260510,23,510,260,510,G2600510,2600510,10769,1960
Gogebic County,"Gogebic County, Michigan",50,260530,23,530,260,530,G2600530,2600530,24370,1960
Grand Traverse County,"Grand Traverse County, Michigan",50,260550,23,550,260,550,G2600550,2600550,33490,1960
Gratiot County,"Gratiot County, Michigan",50,260570,23,570,260,570,G2600570,2600570,37012,1960
Hillsdale County,"Hillsdale County, Michigan",50,260590,23,590,260,590,G2600590,2600590,34742,1960
Houghton County,"Houghton County, Michigan",50,260610,23,610,260,610,G2600610,2600610,35654,1960
Huron County,"Huron County, Michigan",50,260630,23,630,260,630,G2600630,2600630,34006,1960
Ingham County,"Ingham County, Michigan",50,260650,23,650,260,650,G2600650,2600650,211296,1960
Ionia County,"Ionia County, Michigan",50,260670,23,670,260,670,G2600670,2600670,43132,1960
Iosco County,"Iosco County, Michigan",50,260690,23,690,260,690,G2600690,2600690,16505,1960
Iron County,"Iron County, Michigan",50,260710,23,710,260,710,G2600710,2600710,17184,1960
Isabella County,"Isabella County, Michigan",50,260730,23,730,260,730,G2600730,2600730,35348,1960
Jackson County,"Jackson County, Michigan",50,260750,23,750,260,750,G2600750,2600750,131994,1960
Kalamazoo County,"Kalamazoo County, Michigan",50,260770,23,770,260,770,G2600770,2600770,169712,1960
Kalkaska County,"Kalkaska County, Michigan",50,260790,23,790,260,790,G2600790,2600790,4382,1960
Kent County,"Kent County, Michigan",50,260810,23,810,260,810,G2600810,2600810,363187,1960
Keweenaw County,"Keweenaw County, Michigan",50,260830,23,830,260,830,G2600830,2600830,2417,1960
Lake County,"Lake County, Michigan",50,260850,23,850,260,850,G2600850,2600850,5338,1960
Lapeer County,"Lapeer County, Michigan",50,260870,23,870,260,870,G2600870,2600870,41926,1960
Leelanau County,"Leelanau County, Michigan",50,260890,23,890,260,890,G2600890,2600890,9321,1960
Lenawee County,"Lenawee County, Michigan",50,260910,23,910,260,910,G2600910,2600910,77789,1960
Livingston County,"Livingston County, Michigan",50,260930,23,930,260,930,G2600930,2600930,38233,1960
Luce County,"Luce County, Michigan",50,260950,23,950,260,950,G2600950,2600950,7827,1960
Mackinac County,"Mackinac County, Michigan",50,260970,23,970,260,970,G2600970,2600970,10853,1960
Macomb County,"Macomb County, Michigan",50,260990,23,990,260,990,G2600990,2600990,405804,1960
