FIPS,Area Name,Qualifying Name,State FIPS code,SMSA FIPS code,County FIPS code,Place FIPS code,Urban Area FIPS code,Total Population,Year
Geo_FIPS,Geo_NAME,Geo_QName,Geo_State,Geo_METROARA,Geo_COUNTY,Geo_PLACE,Geo_URBANARA,SE_T001_001,1970
26001,Alcona County,"Alcona County, Michigan",26,,1,,,7113,1970
26003,Alger County,"Alger County, Michigan",26,,3,,,8568,1970
26005,Allegan County,"Allegan County, Michigan",26,,5,,,66575,1970
26007,Alpena County,"Alpena County, Michigan",26,,7,,,30708,1970
26009,Antrim County,"Antrim County, Michigan",26,,9,,,12612,1970
26011,Arenac County,"Arenac County, Michigan",26,,11,,,11149,1970
26013,Baraga County,"Baraga County, Michigan",26,,13,,,7789,1970
26015,Barry County,"Barry County, Michigan",26,,15,,,38166,1970
26017,Bay County,"Bay County, Michigan",26,800,17,,,117339,1970
26019,Benzie County,"Benzie County, Michigan",26,,19,,,8593,1970
26021,Berrien County,"Berrien County, Michigan",26,,21,,,163875,1970
26023,Branch County,"Branch County, Michigan",26,,23,,,37906,1970
26025,Calhoun County,"Calhoun County, Michigan",26,,25,,,141963,1970
26027,Cass County,"Cass County, Michigan",26,,27,,,43312,1970
26029,Charlevoix County,"Charlevoix County, Michigan",26,,29,,,16541,1970
26031,Cheboygan County,"Cheboygan County, Michigan",26,,31,,,16573,1970
26033,Chippewa County,"Chippewa County, Michigan",26,,33,,,32412,1970
26035,Clare County,"Clare County, Michigan",26,800,35,,,16695,1970
26037,Clinton County,"Clinton County, Michigan",26,4040,37,,,48492,1970
26039,Crawford County,"Crawford County, Michigan",26,,39,,,6482,1970
26041,Delta County,"Delta County, Michigan",26,,41,,,35924,1970
26043,Dickinson County,"Dickinson County, Michigan",26,,43,,,23753,1970
26045,Eaton County,"Eaton County, Michigan",26,4040,45,,,68892,1970
26047,Emmet County,"Emmet County, Michigan",26,4040,47,,,18331,1970
26049,Genesee County,"Genesee County, Michigan",26,2640,49,,,444341,1970
26051,Gladwin County,"Gladwin County, Michigan",26,,51,,,13471,1970
26053,Gogebic County,"Gogebic County, Michigan",26,,53,,,20676,1970
26055,Grand Traverse County,"Grand Traverse County, Michigan",26,,55,,,39175,1970
26057,Gratiot County,"Gratiot County, Michigan",26,,57,,,39246,1970
26059,Hillsdale County,"Hillsdale County, Michigan",26,,59,,,37171,1970
26061,Houghton County,"Houghton County, Michigan",26,,61,,,34652,1970
26063,Huron County,"Huron County, Michigan",26,2640,63,,,34083,1970
26065,Ingham County,"Ingham County, Michigan",26,4040,65,,,261039,1970
26067,Ionia County,"Ionia County, Michigan",26,,67,,,45848,1970
26069,Iosco County,"Iosco County, Michigan",26,,69,,,24905,1970
26071,Iron County,"Iron County, Michigan",26,,71,,,13813,1970
26073,Isabella County,"Isabella County, Michigan",26,4040,73,,,44594,1970
26075,Jackson County,"Jackson County, Michigan",26,3520,75,,,143274,1970
26077,Kalamazoo County,"Kalamazoo County, Michigan",26,3720,77,,,201550,1970
26079,Kalkaska County,"Kalkaska County, Michigan",26,3720,79,,,5272,1970
26081,Kent County,"Kent County, Michigan",26,3000,81,,,411044,1970
26083,Keweenaw County,"Keweenaw County, Michigan",26,,83,,,2343,1970
26085,Lake County,"Lake County, Michigan",26,3000,85,,,5582,1970
26087,Lapeer County,"Lapeer County, Michigan",26,2640,87,,,52317,1970
26089,Leelanau County,"Leelanau County, Michigan",26,,89,,,10872,1970
26091,Lenawee County,"Lenawee County, Michigan",26,,91,,,81609,1970
26093,Livingston County,"Livingston County, Michigan",26,,93,,,58967,1970
26095,Luce County,"Luce County, Michigan",26,,95,,,6789,1970
26097,Mackinac County,"Mackinac County, Michigan",26,2640,97,,,9660,1970
26099,Macomb County,"Macomb County, Michigan",26,2160,99,,,625309,1970
26101,Manistee County,"Manistee County, Michigan",26,,101,,,20094,1970
26103,Marquette County,"Marquette County, Michigan",26,,103,,,64686,1970
26105,Mason County,"Mason County, Michigan",26,,105,,,22612,1970
26107,Mecosta County,"Mecosta County, Michigan",26,,107,,,27992,1970
26109,Menominee County,"Menominee County, Michigan",26,,109,,,24587,1970
26111,Midland County,"Midland County, Michigan",26,,111,,,63769,1970
26113,Missaukee County,"Missaukee County, Michigan",26,2160,113,,,7126,1970
26115,Monroe County,"Monroe County, Michigan",26,8400,115,,,118479,1970
26117,Montcalm County,"Montcalm County, Michigan",26,,117,,,39660,1970
26119,Montmorency County,"Montmorency County, Michigan",26,8400,119,,,5247,1970
26121,Muskegon County,"Muskegon County, Michigan",26,5320,121,,,157426,1970
26123,Newaygo County,"Newaygo County, Michigan",26,5320,123,,,27992,1970
26125,Oakland County,"Oakland County, Michigan",26,2160,125,,,907871,1970
26127,Oceana County,"Oceana County, Michigan",26,,127,,,17984,1970
26129,Ogemaw County,"Ogemaw County, Michigan",26,,129,,,11903,1970
26131,Ontonagon County,"Ontonagon County, Michigan",26,,131,,,10548,1970
26133,Osceola County,"Osceola County, Michigan",26,,133,,,14838,1970
26135,Oscoda County,"Oscoda County, Michigan",26,,135,,,4726,1970
26137,Otsego County,"Otsego County, Michigan",26,,137,,,10422,1970
26139,Ottawa County,"Ottawa County, Michigan",26,3000,139,,,128181,1970
26141,Presque Isle County,"Presque Isle County, Michigan",26,,141,,,12836,1970
26143,Roscommon County,"Roscommon County, Michigan",26,3000,143,,,9892,1970
26145,Saginaw County,"Saginaw County, Michigan",26,6960,145,,,219743,1970
26147,St Clair County,"St Clair County, Michigan",26,,147,,,120175,1970
26149,St Joseph County,"St Joseph County, Michigan",26,,149,,,47392,1970
26151,Sanilac County,"Sanilac County, Michigan",26,,151,,,34889,1970
26153,Schoolcraft County,"Schoolcraft County, Michigan",26,,153,,,8226,1970
26155,Shiawassee County,"Shiawassee County, Michigan",26,,155,,,63075,1970
26157,Tuscola County,"Tuscola County, Michigan",26,,157,,,48603,1970
26159,Van Buren County,"Van Buren County, Michigan",26,6960,159,,,56173,1970
26161,Washtenaw County,"Washtenaw County, Michigan",26,440,161,,,234103,1970
26163,Wayne County,"Wayne County, Michigan",26,2160,163,,,2666751,1970
26165,Wexford County,"Wexford County, Michigan",26,2160,165,,,19717,1970
