Area Name,Qualifying Name,NHGIS GIS Join Field,NHGIS GISJoin2 Field,Summary Level,FIPS,FIPS State Code,FIPS County Code,Total Population,Year
Geo_Name,Geo_QName,Geo_GISJOIN,Geo_GISJOIN2,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,1980
Alcona County,"Alcona County, Michigan",G2600010,2600010,11,26001,26,1,9740,1980
Alger County,"Alger County, Michigan",G2600030,2600030,11,26003,26,3,9225,1980
Allegan County,"Allegan County, Michigan",G2600050,2600050,11,26005,26,5,81555,1980
Alpena County,"Alpena County, Michigan",G2600070,2600070,11,26007,26,7,32315,1980
Antrim County,"Antrim County, Michigan",G2600090,2600090,11,26009,26,9,16194,1980
Arenac County,"Arenac County, Michigan",G2600110,2600110,11,26011,26,11,14706,1980
Baraga County,"Baraga County, Michigan",G2600130,2600130,11,26013,26,13,8484,1980
Barry County,"Barry County, Michigan",G2600150,2600150,11,26015,26,15,45781,1980
Bay County,"Bay County, Michigan",G2600170,2600170,11,26017,26,17,119881,1980
Benzie County,"Benzie County, Michigan",G2600190,2600190,11,26019,26,19,11205,1980
Berrien County,"Berrien County, Michigan",G2600210,2600210,11,26021,26,21,171276,1980
Branch County,"Branch County, Michigan",G2600230,2600230,11,26023,26,23,40188,1980
Calhoun County,"Calhoun County, Michigan",G2600250,2600250,11,26025,26,25,141557,1980
Cass County,"Cass County, Michigan",G2600270,2600270,11,26027,26,27,49499,1980
Charlevoix County,"Charlevoix County, Michigan",G2600290,2600290,11,26029,26,29,19907,1980
Cheboygan County,"Cheboygan County, Michigan",G2600310,2600310,11,26031,26,31,20649,1980
Chippewa County,"Chippewa County, Michigan",G2600330,2600330,11,26033,26,33,29029,1980
Clare County,"Clare County, Michigan",G2600350,2600350,11,26035,26,35,23822,1980
Clinton County,"Clinton County, Michigan",G2600370,2600370,11,26037,26,37,55893,1980
Crawford County,"Crawford County, Michigan",G2600390,2600390,11,26039,26,39,9465,1980
Delta County,"Delta County, Michigan",G2600410,2600410,11,26041,26,41,38947,1980
Dickinson County,"Dickinson County, Michigan",G2600430,2600430,11,26043,26,43,25341,1980
Eaton County,"Eaton County, Michigan",G2600450,2600450,11,26045,26,45,88337,1980
Emmet County,"Emmet County, Michigan",G2600470,2600470,11,26047,26,47,22992,1980
Genesee County,"Genesee County, Michigan",G2600490,2600490,11,26049,26,49,450449,1980
Gladwin County,"Gladwin County, Michigan",G2600510,2600510,11,26051,26,51,19957,1980
Gogebic County,"Gogebic County, Michigan",G2600530,2600530,11,26053,26,53,19686,1980
Grand Traverse County,"Grand Traverse County, Michigan",G2600550,2600550,11,26055,26,55,54899,1980
Gratiot County,"Gratiot County, Michigan",G2600570,2600570,11,26057,26,57,40448,1980
Hillsdale County,"Hillsdale County, Michigan",G2600590,2600590,11,26059,26,59,42071,1980
Houghton County,"Houghton County, Michigan",G2600610,2600610,11,26061,26,61,37872,1980
Huron County,"Huron County, Michigan",G2600630,2600630,11,26063,26,63,36459,1980
Ingham County,"Ingham County, Michigan",G2600650,2600650,11,26065,26,65,275520,1980
Ionia County,"Ionia County, Michigan",G2600670,2600670,11,26067,26,67,51815,1980
Iosco County,"Iosco County, Michigan",G2600690,2600690,11,26069,26,69,28349,1980
Iron County,"Iron County, Michigan",G2600710,2600710,11,26071,26,71,13635,1980
Isabella County,"Isabella County, Michigan",G2600730,2600730,11,26073,26,73,54110,1980
Jackson County,"Jackson County, Michigan",G2600750,2600750,11,26075,26,75,151495,1980
