Area Name,Qualifying Name,Summary Level,Geographic Component,Region,Division,FIPS,State-FIPS,County,Total Population,Year
Geo_NAME,Geo_QName,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,1990
Alcona County,"Alcona County, Michigan",50,0,2,3,26001,26,1,10145,1990
Alger County,"Alger County, Michigan",50,0,2,3,26003,26,3,8972,1990
Allegan County,"Allegan County, Michigan",50,0,2,3,26005,26,5,90509,1990
Alpena County,"Alpena County, Michigan",50,0,2,3,26007,26,7,30605,1990
Antrim County,"Antrim County, Michigan",50,0,2,3,26009,26,9,18185,1990
Arenac County,"Arenac County, Michigan",50,0,2,3,26011,26,11,14931,1990
Baraga County,"Baraga County, Michigan",50,0,2,3,26013,26,13,7954,1990
Barry County,"Barry County, Michigan",50,0,2,3,26015,26,15,50057,1990
Bay County,"Bay County, Michigan",50,0,2,3,26017,26,17,111723,1990
Benzie County,"Benzie County, Michigan",50,0,2,3,26019,26,19,12200,1990
Berrien County,"Berrien County, Michigan",50,0,2,3,26021,26,21,161378,1990
Branch County,"Branch County, Michigan",50,0,2,3,26023,26,23,41502,1990
Calhoun County,"Calhoun County, Michigan",50,0,2,3,26025,26,25,135982,1990
Cass County,"Cass County, Michigan",50,0,2,3,26027,26,27,49477,1990
Charlevoix County,"Charlevoix County, Michigan",50,0,2,3,26029,26,29,21468,1990
Cheboygan County,"Cheboygan County, Michigan",50,0,2,3,26031,26,31,21398,1990
Chippewa County,"Chippewa County, Michigan",50,0,2,3,26033,26,33,34604,1990
Clare County,"Clare County, Michigan",50,0,2,3,26035,26,35,24952,1990
Clinton County,"Clinton County, Michigan",50,0,2,3,26037,26,37,57883,1990
Crawford County,"Crawford County, Michigan",50,0,2,3,26039,26,39,12260,1990
Delta County,"Delta County, Michigan",50,0,2,3,26041,26,41,37780,1990
Dickinson County,"Dickinson County, Michigan",50,0,2,3,26043,26,43,26831,1990
Eaton County,"Eaton County, Michigan",50,0,2,3,26045,26,45,92879,1990
Emmet County,"Emmet County, Michigan",50,0,2,3,26047,26,47,25040,1990
Genesee County,"Genesee County, Michigan",50,0,2,3,26049,26,49,430459,1990
Gladwin County,"Gladwin County, Michigan",50,0,2,3,26051,26,51,21896,1990
Gogebic County,"Gogebic County, Michigan",50,0,2,3,26053,26,53,18052,1990
Grand Traverse County,"Grand Traverse County, Michigan",50,0,2,3,26055,26,55,64273,1990
Gratiot County,"Gratiot County, Michigan",50,0,2,3,26057,26,57,38982,1990
Hillsdale County,"Hillsdale County, Michigan",50,0,2,3,26059,26,59,43431,1990
Houghton County,"Houghton County, Michigan",50,0,2,3,26061,26,61,35446,1990
Huron County,"Huron County, Michigan",50,0,2,3,26063,26,63,34951,1990
Ingham County,"Ingham County, Michigan",50,0,2,3,26065,26,65,281912,1990
Ionia County,"Ionia County, Michigan",50,0,2,3,26067,26,67,57024,1990
Iosco County,"Iosco County, Michigan",50,0,2,3,26069,26,69,30209,1990
Iron County,"Iron County, Michigan",50,0,2,3,26071,26,71,13175,1990
Isabella County,"Isabella County, Michigan",50,0,2,3,26073,26,73,54624,1990
Jackson County,"Jackson County, Michigan",50,0,2,3,26075,26,75,149756,1990
Kalamazoo County,"Kalamazoo County, Michigan",50,0,2,3,26077,26,77,223411,1990
Kalkaska County,"Kalkaska County, Michigan",50,0,2,3,26079,26,79,13497,1990
Kent County,"Kent County, Michigan",50,0,2,3,26081,26,81,500631,1990
Keweenaw County,"Keweenaw County, Michigan",50,0,2,3,26083,26,83,1701,1990
Lake County,"Lake County, Michigan",50,0,2,3,26085,26,85,8583,1990
Lapeer County,"Lapeer County, Michigan",50,0,2,3,26087,26,87,74768,1990
Leelanau County,"Leelanau County, Michigan",50,0,2,3,26089,26,89,16527,1990
Lenawee County,"Lenawee County, Michigan",50,0,2,3,26091,26,91,91476,1990
Livingston County,"Livingston County, Michigan",50,0,2,3,26093,26,93,115645,1990
Luce County,"Luce County, Michigan",50,0,2,3,26095,26,95,5763,1990
Mackinac County,"Mackinac County, Michigan",50,0,2,3,26097,26,97,10674,1990
Macomb County,"Macomb County, Michigan",50,0,2,3,26099,26,99,717400,1990
