Area Name,Qualifying Name,Area (Land),Area (Water),Summary Level,Geographic Component,Region,Division,FIPS,State (FIPS),County,Total Population,Year
Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,2000
Alcona County,"Alcona County, Michigan",1746776250,2890690938,50,0,2,3,26001,26,1,11719,2000
Alger County,"Alger County, Michigan",2377170025,10699883373,50,0,2,3,26003,26,3,9862,2000
Allegan County,"Allegan County, Michigan",2143123718,2605100219,50,0,2,3,26005,26,5,105665,2000
Alpena County,"Alpena County, Michigan",1487042096,2902986576,50,0,2,3,26007,26,7,31314,2000
Antrim County,"Antrim County, Michigan",1235262187,323663078,50,0,2,3,26009,26,9,23110,2000
Arenac County,"Arenac County, Michigan",950117635,813177035,50,0,2,3,26011,26,11,17269,2000
Baraga County,"Baraga County, Michigan",2341341138,426959496,50,0,2,3,26013,26,13,8746,2000
Barry County,"Barry County, Michigan",1440383061,53786902,50,0,2,3,26015,26,15,56755,2000
Bay County,"Bay County, Michigan",1150591713,483447041,50,0,2,3,26017,26,17,110157,2000
Benzie County,"Benzie County, Michigan",832197831,1394250656,50,0,2,3,26019,26,19,15998,2000
Berrien County,"Berrien County, Michigan",1478882557,2616885082,50,0,2,3,26021,26,21,162453,2000
Branch County,"Branch County, Michigan",1314191146,31282225,50,0,2,3,26023,26,23,45787,2000
Calhoun County,"Calhoun County, Michigan",1835566474,25186093,50,0,2,3,26025,26,25,137985,2000
Cass County,"Cass County, Michigan",1274736966,42180313,50,0,2,3,26027,26,27,51104,2000
Charlevoix County,"Charlevoix County, Michigan",1079610710,2522451715,50,0,2,3,26029,26,29,26090,2000
Cheboygan County,"Cheboygan County, Michigan",1853391663,439339858,50,0,2,3,26031,26,31,26448,2000
Chippewa County,"Chippewa County, Michigan",4043131735,2944608013,50,0,2,3,26033,26,33,38543,2000
Clare County,"Clare County, Michigan",1467993832,21812624,50,0,2,3,26035,26,35,31252,2000
Clinton County,"Clinton County, Michigan",1480069137,8070398,50,0,2,3,26037,26,37,64753,2000
Crawford County,"Crawford County, Michigan",1445530829,13601164,50,0,2,3,26039,26,39,14273,2000
Delta County,"Delta County, Michigan",3030351121,2127826538,50,0,2,3,26041,26,41,38520,2000
Dickinson County,"Dickinson County, Michigan",1984803209,27918825,50,0,2,3,26043,26,43,27472,2000
Eaton County,"Eaton County, Michigan",1492894246,6765482,50,0,2,3,26045,26,45,103655,2000
Emmet County,"Emmet County, Michigan",1211649163,1073402953,50,0,2,3,26047,26,47,31437,2000
Genesee County,"Genesee County, Michigan",1656660341,25129673,50,0,2,3,26049,26,49,436141,2000
Gladwin County,"Gladwin County, Michigan",1312614778,24937206,50,0,2,3,26051,26,51,26023,2000
Gogebic County,"Gogebic County, Michigan",2853804694,970143393,50,0,2,3,26053,26,53,17370,2000
Grand Traverse County,"Grand Traverse County, Michigan",1204527945,352403674,50,0,2,3,26055,26,55,77654,2000
Gratiot County,"Gratiot County, Michigan",1476625630,3834251,50,0,2,3,26057,26,57,42285,2000
Hillsdale County,"Hillsdale County, Michigan",1550995291,21491712,50,0,2,3,26059,26,59,46527,2000
Houghton County,"Houghton County, Michigan",2620341964,1268676121,50,0,2,3,26061,26,61,36016,2000
Huron County,"Huron County, Michigan",2166569275,3366858506,50,0,2,3,26063,26,63,36079,2000
Ingham County,"Ingham County, Michigan",1448291334,4534393,50,0,2,3,26065,26,65,279320,2000
Ionia County,"Ionia County, Michigan",1484616954,18175940,50,0,2,3,26067,26,67,61518,2000
Iosco County,"Iosco County, Michigan",1422193938,3474873606,50,0,2,3,26069,26,69,27339,2000
Iron County,"Iron County, Michigan",3020846180,115682109,50,0,2,3,26071,26,71,13138,2000
Isabella County,"Isabella County, Michigan",1487359266,9006922,50,0,2,3,26073,26,73,63351,2000
Jackson County,"Jackson County, Michigan",1830079005,44462965,50,0,2,3,26075,26,75,158422,2000
Kalamazoo County,"Kalamazoo County, Michigan",1455220328,47439593,50,0,2,3,26077,26,77,238603,2000
Kalkaska County,"Kalkaska County, Michigan",1453024813,25241584,50,0,2,3,26079,26,79,16571,2000
Kent County,"Kent County, Michigan",2217482769,41453062,50,0,2,3,26081,26,81,574335,2000
Keweenaw County,"Keweenaw County, Michigan",1401117836,14050638432,50,0,2,3,26083,26,83,2301,2000
Lake County,"Lake County, Michigan",1469650004,18566736,50,0,2,3,26085,26,85,11333,2000
Lapeer County,"Lapeer County, Michigan",1694380864,22996294,50,0,2,3,26087,26,87,87904,2000
Leelanau County,"Leelanau County, Michigan",902529823,5656298953,50,0,2,3,26089,26,89,21119,2000
Lenawee County,"Lenawee County, Michigan",1943790358,28001355,50,0,2,3,26091,26,91,98890,2000
Livingston County,"Livingston County, Michigan",1472143217,44118848,50,0,2,3,26093,26,93,156951,2000
Luce County,"Luce County, Michigan",2338974196,2612787425,50,0,2,3,26095,26,95,7024,2000
Mackinac County,"Mackinac County, Michigan",2645886628,2794506294,50,0,2,3,26097,26,97,11943,2000
Macomb County,"Macomb County, Michigan",1244329825,231392703,50,0,2,3,26099,26,99,788149,2000
Manistee County,"Manistee County, Michigan",1407937130,1909244646,50,0,2,3,26101,26,101,24527,2000
Marquette County,"Marquette County, Michigan",4716501275,4154659804,50,0,2,3,26103,26,103,64634,2000
Mason County,"Mason County, Michigan",1282477630,1933936905,50,0,2,3,26105,26,105,28274,2000
Mecosta County,"Mecosta County, Michigan",1439237247,39914298,50,0,2,3,26107,26,107,40553,2000
Menominee County,"Menominee County, Michigan",2702708106,762665242,50,0,2,3,26109,26,109,25326,2000
Midland County,"Midland County, Michigan",1349885621,17343934,50,0,2,3,26111,26,111,82874,2000
Missaukee County,"Missaukee County, Michigan",1467865737,18326862,50,0,2,3,26113,26,113,14478,2000
Monroe County,"Monroe County, Michigan",1427343313,333921043,50,0,2,3,26115,26,115,145945,2000
Montcalm County,"Montcalm County, Michigan",1833815128,33524665,50,0,2,3,26117,26,117,61266,2000
Montmorency County,"Montmorency County, Michigan",1418346898,38369080,50,0,2,3,26119,26,119,10315,2000
Muskegon County,"Muskegon County, Michigan",1318605774,2460955731,50,0,2,3,26121,26,121,170200,2000
Newaygo County,"Newaygo County, Michigan",2181722261,49275375,50,0,2,3,26123,26,123,47874,2000
Oakland County,"Oakland County, Michigan",2259793193,91913539,50,0,2,3,26125,26,125,1194156,2000
Oceana County,"Oceana County, Michigan",1399779193,1984623080,50,0,2,3,26127,26,127,26873,2000
Ogemaw County,"Ogemaw County, Michigan",1461540211,26748977,50,0,2,3,26129,26,129,21645,2000
Ontonagon County,"Ontonagon County, Michigan",3396859446,6293454409,50,0,2,3,26131,26,131,7818,2000
Osceola County,"Osceola County, Michigan",1465886433,18447676,50,0,2,3,26133,26,133,23197,2000
Oscoda County,"Oscoda County, Michigan",1463348879,17014255,50,0,2,3,26135,26,135,9418,2000
Otsego County,"Otsego County, Michigan",1332658596,29629911,50,0,2,3,26137,26,137,23301,2000
Ottawa County,"Ottawa County, Michigan",1465036914,2761743542,50,0,2,3,26139,26,139,238314,2000
Presque Isle County,"Presque Isle County, Michigan",1709580089,4953820111,50,0,2,3,26141,26,141,14411,2000
Roscommon County,"Roscommon County, Michigan",1350419147,151368050,50,0,2,3,26143,26,143,25469,2000
Saginaw County,"Saginaw County, Michigan",2095122995,17737467,50,0,2,3,26145,26,145,210039,2000
St. Clair County,"St. Clair County, Michigan",1876113358,290751728,50,0,2,3,26147,26,147,164235,2000
St. Joseph County,"St. Joseph County, Michigan",1304633739,45150438,50,0,2,3,26149,26,149,62422,2000
Sanilac County,"Sanilac County, Michigan",2496226301,1622422823,50,0,2,3,26151,26,151,44547,2000
Schoolcraft County,"Schoolcraft County, Michigan",3051289093,1827449141,50,0,2,3,26153,26,153,8903,2000
Shiawassee County,"Shiawassee County, Michigan",1395313553,5178410,50,0,2,3,26155,26,155,71687,2000
Tuscola County,"Tuscola County, Michigan",2104180663,262607294,50,0,2,3,26157,26,157,58266,2000
Van Buren County,"Van Buren County, Michigan",1582121725,1241456512,50,0,2,3,26159,26,159,76263,2000
Washtenaw County,"Washtenaw County, Michigan",1838733615,32599676,50,0,2,3,26161,26,161,322895,2000
Wayne County,"Wayne County, Michigan",1590646446,150352292,50,0,2,3,26163,26,163,2061162,2000
Wexford County,"Wexford County, Michigan",1464619961,26802646,50,0,2,3,26165,26,165,30484,2000
