OBJECTID,IHDID,lake_name,New_Key,Area_ac,Volume_ac_ft,MeanDepth_ft,MaxDepth_ft
1,44363460,Three Lakes,2-165,6.16503216,30.54457265,4.95448715,21
2,44364716,Klondike Lake,75-490,42.42502873,619.6908756,14.60672848,47
3,86671777,Hamilton Lake,48-19,10.01542822,55.70434838,5.56185389,46
4,116542783,Stonington Lake,31-1070,12.98464648,109.0118981,8.39544598,24
5,82816224,Emerson Lake,53-71,57.94522353,1126.249742,19.43645521,47
6,82817060,Reed Lake,43-80,45.69448004,923.1868171,20.20346476,46
7,82817060,Reed Lake,43-91,44.58448266,481.5180715,10.80012692,25
8,82817574,Sisson Lake,62-436,30.48687354,273.6795884,8.97696473,17
9,92130972,No Name,2-103,7.61628207,23.01836049,3.02225683,10
10,109943820,Homestead Lake,48-488,33.29893278,165.5969301,4.97304016,15
11,109944322,Camp Eight Lake,48-643,67.35030146,1878.02771,27.88447371,75
12,110734671,Ruth Lake,7-160,197.2207355,2471.237167,12.53031108,37
13,113235881,Jenny Lake,2-267,5.38912126,43.97425592,8.15981934,12
14,117627725,Marten Lake,36-1502,166.8749591,830.1570773,4.97472528,6
15,60087944,Howes Lake,20-75,13.60883467,156.8856005,11.52821709,24
16,83976993,Thompson Lake,1-25,12.08864237,180.7040882,14.94825331,35
17,83975621,Porcupine Lake #2,69-340,14.20262891,128.2672143,9.03123043,18
18,83975687,Double Lake,60-70,13.38668694,60.59987665,4.52687636,10
19,83975767,Little Bear Lake,69-2,110.3463907,1837.261623,16.6499476,32
20,123147844,Meander Lake,27-827,9.95809977,105.656207,10.61007717,27
21,123147855,Ridge Lake,27-916,7.26366269,62.3724871,8.58691954,16
22,123147668,Redboat Lake,27-1016,27.73832039,497.4603223,17.93404631,43
23,121860658,Pickerel Lake,62-84,310.5998506,8545.029497,27.51137672,74
24,123392716,Kunze Lake,31-34,16.91362205,155.6750313,9.20412144,46
25,44364366,Halfmoon Lake,2-220,36.01857461,349.5708403,9.70529356,22
26,86671177,Goose Lake,48-169,57.78633477,449.5357162,7.77927373,28
27,86671305,Fur Farm Lake,48-240,27.59104558,204.4991009,7.41179236,12
28,86671327,Peter Lake,48-247,4.98460975,48.8475447,9.79967281,23
29,82816456,Casin Lake,53-78,27.18109775,37.54543877,1.38130693,5
30,109944284,Sid Lake,48-622,9.94796845,77.05833058,7.74613741,37
31,113235883,Aleck Lake,2-270,26.69726541,214.1830373,8.02265827,17
32,60091496,Little Syers Lake,43-182,149.9339084,627.3033276,4.18386564,18
33,60091496,Little Syers Lake,43-233,140.3175553,585.3349496,4.17150191,18
34,123147932,King Lake,27-844,14.15518467,231.4141897,16.34836953,42
35,123147771,Plymouth Lake,27-913,29.9706704,209.1965742,6.9800432,16
36,122383239,Devils Lake,4-8,833.9932648,2349.746323,2.81746439,5
37,123397692,Anderson Lake,27-113,80.07795834,1801.662634,22.49885825,46
38,123397787,Trapper Lake,27-206,12.62609657,189.2995254,14.99271959,55
39,44366616,Merwin Lake,75-117,133.6785751,221.4546073,1.65662005,3
40,86671033,Halfway Lake,48-139,64.92174977,564.4614638,8.69448938,12
