OBJECTID,TRANSCODE,TC_METHOD,NAME,UNIQUE_ID,LAKE_NAME,NEW_KEY,X_COORD,Y_COORD,COMID,FDATE,GNIS_ID,GNIS_NAME,REACHCODE,FTYPE,FCODE,CI_TR,PU_CODE
1,River,Checked,Lowell,70639,Flat River,41-181.1,553703.7826,267812.3589,,,,,,,,,
2,River,Checked,Lowell,-70639,Flat River,41-181,554856.7489,269190.086,,,,,,,,,
3,River,Checked,Au Train River,70668,Au Train River,2-453,436197.7967,653425.3219,,,,,,,,,
4,River,Checked,Webber Impoundment,70673,Webber,34-32,588902.7192,266110.8016,,,,,,,,,
5,River,Checked,Chalk Hill Impoundment,70669,Chalk Hill Impoundment,55-41,358609.4035,555234.1536,,,,,,,,,
6,River,Checked,Lowell Impoundment,70670,Lowell Impoundment,34-58,557772.2185,275256.3776,,,,,,,,,
7,River,Checked,Marinette Upper Dam #3,70671,Marinette Upper Dam #3,55-2,368436.8877,509064.9321,,,,,,,,,
8,River,Checked,No Name,44426,No Name,70-158,485781.1574,278080.0023,,,,,,,,,
9,sagnw34157,spatjoin,No Name,38585,No Name,2-Sep,668331.2414,336235.7506,,,,,,,,,
10,menom73899,spatjoin,No Name,21263,No Name,22-6,359083.6416,583535.0916,,,,,,,,,
11,River,Checked,No Name,43643,No Name,77-196.1,776703.1964,284772.4587,,,,,,,,,
12,River,Checked,Paw Paw River,70532,Paw Paw River,80-253,486862.6272,185104.7008,,,,,,,,,
13,No WB,Checked,No Name,-62982,No Name,39-315,521696.4711,179786.6468,,,,,,,,,
14,River,Checked,Pine River,70484,Pine River,29-101,611839.83,318310.28,70484,,,,,,,,
15,TlngsPond,Checked,Tailing Pond,70480,Tailings Pond,66-560,231669.4424,698087.5773,,,,,,,,,
17,IsleRoyale,Checked,Lake Ahmik,2,"Ahmik, Lake",42-288,310916.6058,847239.2233,,,,,,,,,
18,IsleRoyale,Checked,Amygdaloid Lake,3,Amygdaloid Lake,42-290,303776.6193,847148.964,,,,,,,,,
20,IsleRoyale,Checked,Patterson Lake,5,Patterson Lake,42-289,310012.4653,846544.3766,,,,,,,,,
21,IsleRoyale,Checked,Moose Lake,6,Moose Lake,42-287,312890.5166,846469.0719,,,,,,,,,
24,IsleRoyale,Checked,,9,no name,42-359,311748.098,845818.6266,,,,,,,,,
25,IsleRoyale,Checked,,10,no name,42-357,308174.9344,845913.7184,,,,,,,,,
42,IsleRoyale,Checked,Lake Eva,28,"Eva, Lake",42-291,303404.7917,844652.0823,,,,,,,,,
52,IsleRoyale,Checked,Linklater Lake,40,Linklater Lake,42-303,303207.5079,843448.599,,,,,,,,,
69,IsleRoyale,Checked,Lake Shesheeb,58,"Shesheeb, Lake",42-305,302414.0851,842865.2298,,,,,,,,,
76,IsleRoyale,Checked,Sargent Lake,67,Sargent Lake,42-311,301816.2852,841481.7676,,,,,,,,,
78,IsleRoyale,Checked,Lake Ojibway,69,"Ojibway, Lake",42-315,305570.5914,842145.9316,,,,,,,,,
89,IsleRoyale,Checked,Lake Wagejo,88,"Wagejo, Lake",42-321,302795.5303,841095.5419,,,,,,,,,
90,IsleRoyale,Checked,McDonald Lake,89,McDonald Lake,42-336,296367.9175,841018.4614,,,,,,,,,
91,IsleRoyale,Checked,Angleworm Lake,90,Angleworm Lake,42-320,302507.1368,840253.7533,,,,,,,,,
92,IsleRoyale,Checked,Lake Benson,93,"Benson, Lake",42-319,303844.7118,840620.3497,,,,,,,,,
93,IsleRoyale,Checked,Forbes Lake,96,Forbes Lake,42-318,304698.5126,840617.3943,,,,,,,,,
98,IsleRoyale,Checked,Beaver Lake,103,Beaver Lake,42-339,294491.0335,840154.658,,,,,,,,,
103,IsleRoyale,Checked,Otter Lake,108,Otter Lake,42-338,294807.0585,839830.3653,,,,,,,,,
116,IsleRoyale,Checked,Chickenbone Lake,121,Chickenbone Lake,42-205,297661.7888,838793.9526,,,,,,,,,
125,IsleRoyale,Checked,Sumner Lake,132,Sumner Lake,42-324,305227.2554,838716.9991,,,,,,,,,
126,IsleRoyale,Checked,Lake Livermore,134,"Livermore, Lake",42-204,298035.0634,838283.225,,,,,,,,,
130,IsleRoyale,Checked,,138,no name,42-356,307277.2048,838338.8248,,,,,,,,,
137,IsleRoyale,Checked,Newt Lake,146,Newt Lake,42-177,305188.9926,837837.752,,,,,,,,,
138,IsleRoyale,Checked,LeSage Lake,147,LeSage Lake,42-202,297972.179,837426.1577,,,,,,,,,
141,IsleRoyale,Checked,,152,no name,42-358,299712.9019,837536.6725,,,,,,,,,
146,IsleRoyale,Checked,Wallace Lake,158,Wallace Lake,42-179,303927.9875,837242.1142,,,,,,,,,
148,IsleRoyale,Checked,Lake John,160,"John, Lake",42-175,306928.4745,837182.6334,,,,,,,,,
150,IsleRoyale,Checked,Lake Harvey,163,"Harvey, Lake",42-207,291475.7785,836877.8107,,,,,,,,,
215,thbay71333,spatjoin,no name,25953,No Name,1-197,701724.6272,473730.3723,113471333,12/9/03,,,4.07001E+12,390,39004,71333,thbay
216,lnocq83359,spatjoin,Cedar Lake,70153,Cedar Lake,Jan-52,711836.0323,444872.7309,122383359,7/1/04,,,4.07E+12,390,39004,83359,lnocq
225,kewee42333,spatjoin,Owl Lake,380,Owl Lake,42-127,334860.4779,765832.0164,116542333,1/9/04,634253,Owl Lake,4.0201E+12,390,39004,42333,kewee
234,IsleRoyale,Checked,Lake Richie,175,"Richie, Lake",42-200,298924.6961,835924.0388,,,,,,,,,
260,,,Epidote Lake,207,Epidote Lake,42-188,304943.3653,835387.2572,,,,,,,,,
262,IsleRoyale,Checked,Lake Mason,209,"Mason, Lake",42-185,303221.5091,835011.7105,,,,,,,,,
270,IsleRoyale,Checked,Intermediate Lake,217,Intermediate Lake,42-223,296498.5614,834553.5567,,,,,,,,,
273,IsleRoyale,Checked,Lake Theresa,220,"Theresa, Lake",42-189,303703.1217,834742.9416,,,,,,,,,
279,IsleRoyale,Checked,Hatchet Lake,227,Hatchet Lake,42-265,287617.145,834138.0485,,,,,,,,,
289,IsleRoyale,Checked,Siskiwit Lake,69881,Siskiwit Lake,42-165,291055.4365,831463.2783,,,,,,,,,
302,IsleRoyale,Checked,,252,No Name,42-360,301092.6997,833021.1904,,,,,,,,,
310,IsleRoyale,Checked,Lake Whittlesey,266,"Whittlesey, Lake",42-244,297891.0186,831803.1273,,,,,,,,,
311,IsleRoyale,Checked,Wood Lake,69882,Wood Lake,42-242,295239.3205,831574.6559,,,,,,,,,
312,IsleRoyale,Checked,Lake Scholts,268,"Scholts, Lake",42-247,299274.266,832029.0864,,,,,,,,,
313,IsleRoyale,Checked,,269,no name,42-276,279701.0907,831951.4452,,,,,,,,,
314,IsleRoyale,Checked,Lake George,270,"George, Lake",42-249,299463.9223,831867.3168,,,,,,,,,
318,IsleRoyale,Checked,Lake Dustin,279,"Dustin, Lake",42-252,298616.6722,831551.0734,,,,,,,,,
331,IsleRoyale,Checked,Lake Desor,298,"Desor, Lake",42-167,276900.7078,829119.1956,,,,,,,,,
335,,,No Name,302,No Name,42-362,293888.4318,829648.5742,,,,,,,,,
338,IsleRoyale,Checked,Mud Lake,308,Mud Lake,42-166,283634.7669,827398.281,,,,,,,,,
