OBJECTID,Join_Count,TARGET_FID,Water_Body_Key,Water_Body_Name,FMU_Code,Survey_Number,Year,Survey_Purpose,New_Key,Located_Town,Located_Range,Located_Town_D,Located_Range_D,Located_Section,primary_county_name,FirstOfSurvey_Begin_Timestamp,LastOfEnding_Effort_Timestamp,LONG_DD,LAT_DD,IHDLKID,ComID,Permanent_,FDate,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,Lake_Area_,LakeConnec,HU4_ZoneID,HU4_Name,HU6_ZoneID,HU6_Name,HU8_ZoneID,HU8_Name,HU12_ZoneI,HU12_Name,EDU_ZoneID,EDU_Name,COUNTY_Zon,COUNTY_Nam,State_Name,STATE_Zone,HU4,HU6,HU12,HU8,STATE,lagoslakei
1,1,1,12588,Sprinkler Lake,MI-MNH,4587,2004,Status & Trends,1-113,26N,07E,26,7,32,Alcona,2004-06-14,2004-06-17,-83.60803,44.60399,,0,83976679,2003-05-21,00638636,Sprinkler Lake,0.151,0,04070007001405,390,39004,15.06498963,DR_Stream,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_207,Au Sable,HU12_13729,McGillis Creek,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_338,Alcona County,Michigan,State_3,0407,040700,040700070602,04070007,MI,127671
2,1,2,27N05E1801,Crooked Lake,MI-MNH,7942,2009,Status & Trends,1-138,27N,05E,27,5,18,Alcona,2009-06-08,2009-06-11,-83.86954,44.73555,113471599,0,113471599,2003-12-09,00624100,Crooked Lake,0.389,0,04070006000922,390,39004,38.88991165,Isolated,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_210,Thunder Bay,HU12_13750,Little Wolf Creek,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_338,Alcona County,Michigan,State_3,0407,040700,040700060103,04070006,MI,4143
3,1,3,11984,North Lake,MI-MNH,7558,2008,Status & Trends,1-16,25N,06E,25,6,15,Alcona,2008-05-27,2008-08-27,-83.69899,44.57055,83976899,0,83976899,2003-05-21,00633594,North Lake,0.351,0,04070007001428,390,39004,35.11389535,DR_LakeStream,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_207,Au Sable,HU12_13725,South Branch Pine River,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_338,Alcona County,Michigan,State_3,0407,040700,040700070605,04070007,MI,790
4,1,4,27N07E0301,Hubbard Lake,MI-MNH,2446,2006,Status & Trends,1-165,27N,07E,27,7,3,Alcona,2006-05-08,2006-05-12,-83.55954,44.80416,113471457,0,113471457,2011-05-09,00628741,Hubbard Lake,35.521,0,04070006000849,390,39004,3552.142708,DR_LakeStream,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_210,Thunder Bay,HU12_13753,Hubbard Lake-Lower South Branch Thunder Bay River,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_338,Alcona County,Michigan,State_3,0407,040700,040700060504,04070006,MI,1620
5,1,5,27N08E3601,Brownlee Lake,MI-MNH,3794,2002,Status & Trends,1-179,27N,08E,27,8,36,Alcona,2002-06-03,2002-08-15,-83.40954,44.68999,83976131,0,83976131,2003-05-21,00622105,Brownlee Lake,0.366,0,04070007001333,390,39004,36.57366619,Headwater,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_207,Au Sable,HU12_13739,East Branch Pine River,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_338,Alcona County,Michigan,State_3,0407,040700,040700070604,04070007,MI,3540
6,1,6,25N06E2001,Vaughn Lake,MI-MNH,6298,2006,Status & Trends,1-29,25N,06E,25,6,20,Alcona,2006-06-05,2006-06-08,-83.7276,44.53916,83977025,0,83977025,2003-05-21,01615530,Vaughn Lake,0.457,0,04070007001446,390,39004,45.7310445,DR_Stream,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_207,Au Sable,HU12_13721,Wallace Creek,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_338,Alcona County,Michigan,State_3,0407,040700,040700070601,04070007,MI,2058
7,1,7,25N05E1401,Alcona Dam Pond,MI-MNH,4079,2003,Status & Trends,1-4,25N,05E,25,5,14,Alcona,2003-06-09,2003-09-16,-83.80491,44.56605,83976953,0,83976953,2003-05-21,01619004,Alcona Dam Pond,3.923,0,04070007001429,390,39004,392.3415819,DR_LakeStream,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_207,Au Sable,HU12_13730,Bamfield Creek-Au Sable River,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_338,Alcona County,Michigan,State_3,0407,040700,040700070704,04070007,MI,1242
8,1,8,10371,Cedar Lake,MI-MNH,8992,2012,Status & Trends,1-52,25N,09E,25,9,15,Alcona,2011-06-06,2012-06-09,-83.33204,44.53138,122383359,0,122383358,2011-07-14,00619758,Cedar Lake,3.694,0,04070003001897,390,39004,369.4488337,DR_LakeStream,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_205,Lone Lake-Ocqueoc,HU12_13748,Mill Creek-Frontal Lake Huron,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_338,Alcona County,Michigan,State_3,0407,040700,040700030406,04070003,MI,3880
9,1,9,26N05E1801,O'Brien Lake,MI-MNH,6258,2006,Status & Trends,1-63,26N,05E,26,5,18,Alcona,2006-05-16,2006-05-18,-83.88232,44.64138,83976631,0,83976631,2003-05-21,01621077,O'Brien Lake,0.044,0,04070007001397,390,39004,4.418638551,Headwater,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_207,Au Sable,HU12_13733,Blockhouse Creek-Au Sable River,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_338,Alcona County,Michigan,State_3,0407,040700,040700070701,04070007,MI,12521
10,1,10,26N06E3601,Bliss Lake,MI-MNH,4966,2004,Status & Trends,1-97,26N,06E,26,6,36,Alcona,2004-06-14,2004-06-16,-83.6551,44.60166,83976721,0,83976721,2003-05-21,00621591,Bliss Lake,0.144,0,04070007001406,390,39004,14.37646539,Isolated,HU4_31,Northwestern Lake Huron,HU6_42,Northwestern Lake Huron,HU8_207,Au Sable,HU12_13729,McGillis Creek,EDU_48,"Northern Lake Michigan, Lake Huron, and Straits of Mackinac",County_338,Alcona County,Michigan,State_3,0407,040700,040700070602,04070007,MI,102880
